Dátum;Eladás;Hőmérséklet
2012.05.15;26062;13,5
2012.05.16;24669;14,2
2012.05.17;27119;13,3
2012.05.18;69117;14,7
2012.05.19;79721;17,7
2012.05.20;71133;21,8
2012.05.21;37094;23,7
2012.05.22;33289;19
2012.05.23;40109;23,5
2012.05.24;40094;22,3
2012.05.25;68199;18,7
2012.05.26;87736;18,5
2012.05.29;37322;17,2
2012.05.30;42847;21
2012.05.31;42343;21,5
2012.06.01;125635;17,8
2012.06.02;107414;15,7
2012.06.03;89204;23,8
2012.06.04;68484;23
2012.06.05;53499;16,3
2012.06.06;64003;18,2
2012.06.07;70147;22,7
2012.06.08;113612;24,8
2012.06.09;114832;23,5
2012.06.10;75455;21
2012.06.11;49345;18,7
2012.06.12;49386;18,5
2012.06.13;53625;17,3
2012.06.14;61810;19,5
2012.06.15;156990;22,3
2012.06.16;152293;25,8
2012.06.17;126480;27,5
2012.06.18;95237;28,8
2012.06.19;105222;29
2012.06.20;105573;30,2
2012.06.21;98964;29,5
2012.06.22;196574;25,2
2012.06.23;134804;25,5
2012.06.24;95745;25,7
2012.06.25;48476;18,8
2012.06.26;62449;20,2
2012.06.27;67852;21,2
2012.06.28;67408;23
2012.06.29;160504;25,5
2012.06.30;163965;29,5
2012.07.01;130818;31
2012.07.02;104454;31,5
2012.07.03;133630;31
2012.07.04;118391;30,8
2012.07.05;110360;31
2012.07.06;164487;30,8
2012.07.07;158640;29,7
2012.07.08;126858;30,8
2012.07.09;90466;29,2
2012.07.10;86453;27,3
2012.07.11;77515;27,8
2012.07.12;72967;22,3
2012.07.13;157252;22
2012.07.14;144135;22,8
2012.07.15;92428;19,7
2012.07.16;66361;19,5
2012.07.17;65329;20,5
2012.07.18;71756;22,8
2012.07.19;77426;26,8
2012.07.20;195058;23,3
2012.07.21;125820;19,3
2012.07.22;79853;20,3
2012.07.23;69432;24
2012.07.24;66071;24,5
2012.07.25;67722;22,8
2012.07.26;71515;22,8
2012.07.27;91565;25,7
2012.07.28;100316;27,7
